time,id,captured,test1,test2,test3,test4,test5,test6
7,12,1,0,0,0,1,0,0
6,13,0,NA,NA,NA,NA,NA,NA
7,13,1,0,0,0,0,0,1
8,13,1,0,0,0,0,0,0
9,13,1,0,0,0,0,1,0
2,14,1,0,0,0,0,0,0
3,14,1,0,0,0,0,0,1
4,14,1,0,1,0,0,0,1
5,14,1,0,0,0,0,0,1
6,14,1,0,0,0,0,0,0
7,14,1,0,1,0,1,1,0
8,14,1,0,0,0,0,1,1
9,14,1,0,0,0,1,0,1
5,15,0,NA,NA,NA,NA,NA,NA
6,15,1,0,0,0,0,0,0
7,15,1,0,0,0,0,0,1
8,15,1,0,0,0,0,0,0
9,15,1,0,0,0,0,0,0
10,16,1,0,1,0,0,0,0
11,16,1,1,0,0,0,0,0
12,16,1,1,0,0,0,0,0
13,16,1,0,0,0,0,0,0
14,16,0,NA,NA,NA,NA,NA,NA
15,16,1,0,0,0,0,0,0
16,16,0,NA,NA,NA,NA,NA,NA
17,16,1,0,0,0,0,0,0
18,17,1,0,0,0,0,0,0
19,17,1,0,0,0,0,0,0
20,17,1,0,0,0,0,0,0
21,17,1,0,0,0,0,0,0
22,17,1,0,0,0,0,0,0
23,17,0,NA,NA,NA,NA,NA,NA
4,18,1,0,0,0,1,0,0
5,18,0,NA,NA,NA,NA,NA,NA
6,18,1,0,0,0,0,1,0
4,19,0,NA,NA,NA,NA,NA,NA
5,19,1,0,0,0,1,1,1
6,19,0,NA,NA,NA,NA,NA,NA
7,19,1,0,1,0,1,1,1
8,19,1,1,0,0,0,1,1
9,19,1,0,0,0,0,0,0
10,19,1,0,0,1,1,1,1
11,20,1,0,0,0,0,0,0
12,20,1,0,0,0,0,0,0
13,20,1,0,0,0,0,0,1
14,20,1,0,0,0,0,0,0
15,20,1,0,0,0,1,1,1
16,20,1,0,0,0,0,1,0
1,21,0,NA,NA,NA,NA,NA,NA
2,21,1,0,0,0,0,0,0
3,21,1,0,0,0,0,1,0
4,21,1,0,0,0,0,0,0
5,21,1,0,1,0,0,0,0
6,21,1,0,1,0,0,0,0
7,21,0,NA,NA,NA,NA,NA,NA
8,21,1,0,0,0,0,0,0
20,22,1,0,0,0,0,0,0
21,22,1,0,0,0,0,1,0
22,22,0,NA,NA,NA,NA,NA,NA
23,22,1,0,0,0,0,0,0
1,23,0,NA,NA,NA,NA,NA,NA
2,23,1,0,0,0,0,0,0
3,23,1,0,0,0,0,0,1
4,23,1,0,0,0,0,0,1
5,23,1,0,0,0,0,1,0
6,23,1,0,0,0,0,0,0
7,23,1,0,0,0,0,0,0
8,23,0,NA,NA,NA,NA,NA,NA
7,24,1,0,0,0,0,0,0
8,24,1,0,0,0,0,0,0
9,24,1,0,0,0,0,0,0
10,24,1,0,0,0,0,0,0
10,25,1,0,0,0,1,0,0
11,25,1,0,0,0,0,0,0
12,25,1,0,0,0,0,0,0
13,25,1,0,0,0,0,0,0
14,25,1,0,0,0,0,0,0
15,25,1,0,0,0,0,0,0
16,25,1,0,0,0,0,1,0
17,25,1,0,0,0,0,0,0
18,26,1,0,0,0,0,0,0
19,26,1,0,0,0,0,0,0
20,26,1,0,0,0,0,0,0
1,27,0,NA,NA,NA,NA,NA,NA
2,27,0,NA,NA,NA,NA,NA,NA
3,27,1,1,0,0,0,0,0
4,27,1,0,0,0,0,0,0
5,27,0,NA,NA,NA,NA,NA,NA
6,27,1,0,0,0,0,0,0
7,27,1,0,0,0,0,0,0
11,28,1,1,0,0,0,0,0
12,28,1,0,1,0,0,0,0
13,28,1,0,0,0,0,0,0
14,28,1,0,0,0,1,0,1
15,28,1,0,0,0,0,0,0
16,28,1,0,0,0,0,0,1
17,28,0,NA,NA,NA,NA,NA,NA
2,29,0,NA,NA,NA,NA,NA,NA
3,29,1,0,0,0,0,0,0
4,29,0,NA,NA,NA,NA,NA,NA
5,29,1,0,0,0,0,0,0
6,29,1,0,0,0,0,0,0
7,29,1,0,0,0,0,0,0
8,29,1,0,0,0,0,0,0
20,30,1,0,0,0,0,0,0
21,30,0,NA,NA,NA,NA,NA,NA
22,30,1,0,1,0,0,1,0
23,30,1,0,0,0,0,0,0
24,30,1,0,1,0,0,0,0
1,31,0,NA,NA,NA,NA,NA,NA
2,31,1,0,0,0,1,0,0
3,31,0,NA,NA,NA,NA,NA,NA
4,31,1,0,0,0,0,0,0
5,31,0,NA,NA,NA,NA,NA,NA
6,31,1,0,0,0,0,0,0
7,31,0,NA,NA,NA,NA,NA,NA
14,32,1,0,1,0,0,0,0
15,32,1,0,0,0,0,0,0
16,32,1,0,0,0,0,0,0
17,32,0,NA,NA,NA,NA,NA,NA
16,33,1,0,0,0,0,0,0
17,33,1,0,0,0,0,0,0
18,33,0,NA,NA,NA,NA,NA,NA
19,33,1,0,1,0,0,0,0
20,33,0,NA,NA,NA,NA,NA,NA
21,33,1,0,0,0,0,0,0
22,33,0,NA,NA,NA,NA,NA,NA
23,33,0,NA,NA,NA,NA,NA,NA
15,34,1,0,0,0,0,0,0
16,34,1,0,1,0,0,1,0
17,34,0,NA,NA,NA,NA,NA,NA
4,35,1,0,0,0,0,0,0
5,35,0,NA,NA,NA,NA,NA,NA
6,35,0,NA,NA,NA,NA,NA,NA
7,35,1,0,0,0,0,0,0
8,35,1,0,0,0,0,0,0
7,36,1,0,1,0,1,1,0
8,36,0,NA,NA,NA,NA,NA,NA
9,36,1,0,0,0,1,1,0
19,37,0,NA,NA,NA,NA,NA,NA
20,37,1,0,0,0,0,0,1
21,37,0,NA,NA,NA,NA,NA,NA
22,37,0,NA,NA,NA,NA,NA,NA
23,37,1,0,0,0,0,0,0
24,37,1,0,0,0,0,0,0
8,38,1,0,0,0,0,0,0
9,38,1,0,0,0,0,0,0
10,38,0,NA,NA,NA,NA,NA,NA
11,38,1,0,0,0,0,0,0
12,38,1,0,0,0,0,0,0
13,38,1,0,0,0,0,0,0
14,38,1,1,0,0,0,0,0
1,39,1,0,0,0,1,0,0
2,39,0,NA,NA,NA,NA,NA,NA
3,39,0,NA,NA,NA,NA,NA,NA
4,39,1,0,0,0,0,0,0
5,39,1,0,0,0,0,0,0
13,40,1,0,0,0,0,0,0
14,40,1,0,0,0,0,0,0
15,40,0,NA,NA,NA,NA,NA,NA
16,40,1,0,0,0,0,0,0
17,40,1,0,0,0,0,0,0
18,40,1,0,0,0,0,0,0
19,40,0,NA,NA,NA,NA,NA,NA
20,40,1,0,0,0,0,0,0
8,41,1,0,0,0,0,0,0
9,41,1,0,0,0,0,0,0
10,41,0,NA,NA,NA,NA,NA,NA
11,41,1,0,0,0,0,0,0
12,41,1,0,0,0,0,0,0
13,41,0,NA,NA,NA,NA,NA,NA
14,41,1,1,1,0,1,1,0
15,41,0,NA,NA,NA,NA,NA,NA
10,42,1,0,0,0,0,0,0
11,42,1,0,0,0,0,0,0
12,42,1,0,0,0,0,0,0
13,42,1,0,0,0,0,0,0
14,42,0,NA,NA,NA,NA,NA,NA
20,43,1,0,0,0,0,0,0
21,43,1,1,0,1,1,1,1
22,43,1,1,1,0,0,0,1
23,43,0,NA,NA,NA,NA,NA,NA
24,43,1,0,1,0,0,1,1
6,44,1,0,0,0,0,0,0
7,44,1,0,0,0,0,0,0
8,44,1,0,0,0,0,0,0
9,44,1,0,0,0,0,1,0
10,44,1,0,0,0,1,0,0
3,45,1,0,0,0,0,0,0
4,45,0,NA,NA,NA,NA,NA,NA
5,45,0,NA,NA,NA,NA,NA,NA
6,45,1,0,0,0,0,0,0
7,45,1,0,0,0,0,0,0
8,45,1,1,1,0,1,0,0
9,45,1,1,0,1,1,1,0
10,45,1,1,0,0,0,0,1
4,46,0,NA,NA,NA,NA,NA,NA
5,46,0,NA,NA,NA,NA,NA,NA
6,46,0,NA,NA,NA,NA,NA,NA
7,46,1,0,0,0,0,0,0
8,46,1,0,0,0,0,0,0
9,46,0,NA,NA,NA,NA,NA,NA
10,46,1,0,1,0,0,0,0
18,47,1,0,0,0,0,0,0
19,47,0,NA,NA,NA,NA,NA,NA
20,47,1,0,0,0,0,0,0
21,47,0,NA,NA,NA,NA,NA,NA
22,47,1,1,0,0,1,0,0
23,47,0,NA,NA,NA,NA,NA,NA
24,47,1,0,0,0,0,0,1
17,48,0,NA,NA,NA,NA,NA,NA
18,48,0,NA,NA,NA,NA,NA,NA
19,48,1,0,0,0,0,0,0
20,48,0,NA,NA,NA,NA,NA,NA
21,48,0,NA,NA,NA,NA,NA,NA
22,48,1,0,0,1,0,0,1
23,48,1,0,1,0,1,1,0
6,49,0,NA,NA,NA,NA,NA,NA
7,49,1,0,0,0,0,0,0
8,49,1,0,0,0,0,0,0
9,49,1,0,0,0,0,0,0
10,49,1,0,0,0,1,1,0
17,50,1,0,0,0,0,0,0
18,50,1,0,0,0,0,0,0
19,50,1,0,0,0,0,0,0
20,50,0,NA,NA,NA,NA,NA,NA
21,50,1,0,0,0,0,0,0
22,50,1,1,0,0,1,1,1
23,50,0,NA,NA,NA,NA,NA,NA
10,51,1,0,0,0,0,0,0
11,51,1,0,0,0,0,0,0
12,51,0,NA,NA,NA,NA,NA,NA
13,51,1,0,0,0,0,0,0
14,51,1,0,0,0,0,0,0
15,51,1,0,0,0,1,1,0
11,52,1,0,0,0,0,0,0
12,52,1,0,0,0,0,0,0
13,52,1,0,0,0,0,0,0
14,52,0,NA,NA,NA,NA,NA,NA
15,52,0,NA,NA,NA,NA,NA,NA
16,52,1,0,0,0,0,0,1
17,52,1,0,0,0,0,0,0
11,53,1,0,0,0,0,0,0
12,53,1,1,0,0,0,0,0
13,53,0,NA,NA,NA,NA,NA,NA
14,53,1,0,0,0,1,1,1
15,53,1,1,1,0,1,1,1
16,53,1,1,1,0,1,0,1
17,53,1,0,1,0,1,1,1
18,53,0,NA,NA,NA,NA,NA,NA
4,54,1,0,0,0,0,0,1
5,54,1,0,0,0,0,0,0
6,54,1,0,0,0,0,0,0
7,54,1,0,1,0,0,0,0
8,54,1,0,0,0,0,0,0
19,55,1,1,0,0,1,1,0
20,55,1,0,1,0,0,1,0
21,55,1,1,1,0,0,1,0
22,55,1,0,0,0,0,1,0
23,55,0,NA,NA,NA,NA,NA,NA
24,55,0,NA,NA,NA,NA,NA,NA
1,56,1,0,0,0,0,0,0
2,56,1,0,0,0,0,0,0
3,56,1,0,0,0,0,0,0
4,56,1,0,0,0,1,0,1
5,56,1,0,1,0,1,1,0
6,56,0,NA,NA,NA,NA,NA,NA
20,57,1,0,0,0,0,0,1
21,57,1,0,0,0,0,0,0
22,57,1,0,0,0,0,0,0
23,57,1,0,0,0,0,0,0
24,57,1,0,0,0,0,0,0
12,58,1,0,0,0,0,0,0
13,58,1,0,0,0,0,1,0
14,58,1,0,1,0,0,0,0
15,58,1,0,0,0,0,0,0
16,58,1,0,0,0,0,0,0
8,59,1,1,0,0,0,0,0
9,59,1,0,0,0,0,0,0
10,59,1,0,0,0,0,0,1
11,59,1,0,0,0,0,0,0
12,59,1,0,1,0,0,0,0
13,59,1,1,1,0,1,1,0
14,59,1,1,0,1,1,0,1
6,60,1,0,1,0,0,0,0
7,60,1,0,0,0,0,0,0
8,60,1,1,1,0,0,1,1
10,61,0,NA,NA,NA,NA,NA,NA
11,61,1,0,0,0,0,0,0
12,61,1,0,0,0,0,0,0
13,61,1,0,0,0,0,0,0
8,62,1,0,1,0,0,0,0
9,62,1,0,0,0,0,0,0
10,62,1,0,0,0,0,0,0
11,62,0,NA,NA,NA,NA,NA,NA
12,62,1,0,0,0,0,0,0
17,63,1,0,0,0,0,0,0
18,63,0,NA,NA,NA,NA,NA,NA
19,63,1,0,0,0,0,0,0
20,63,1,0,0,0,0,1,0
21,63,1,0,0,0,0,0,0
22,63,1,0,0,0,1,0,0
23,63,0,NA,NA,NA,NA,NA,NA
15,64,1,0,0,0,0,0,0
16,64,1,0,0,0,0,0,0
17,64,1,0,0,0,0,0,0
18,64,1,0,0,0,0,1,0
19,64,0,NA,NA,NA,NA,NA,NA
20,64,0,NA,NA,NA,NA,NA,NA
3,65,1,0,1,0,1,0,0
4,65,1,0,0,0,0,0,0
5,65,1,0,0,0,0,0,0
7,66,1,0,0,0,0,0,0
8,66,0,NA,NA,NA,NA,NA,NA
9,66,1,0,1,0,0,0,0
10,66,1,0,0,0,0,0,0
9,67,1,1,1,0,1,1,0
10,67,1,1,0,0,0,1,1
11,67,0,NA,NA,NA,NA,NA,NA
9,68,1,0,0,0,0,1,0
10,68,1,0,0,0,0,0,0
11,68,1,0,0,0,0,0,0
12,68,0,NA,NA,NA,NA,NA,NA
13,68,1,0,0,0,0,0,0
14,68,1,0,0,0,0,0,0
15,68,0,NA,NA,NA,NA,NA,NA
18,69,0,NA,NA,NA,NA,NA,NA
19,69,0,NA,NA,NA,NA,NA,NA
20,69,1,0,1,0,0,0,0
21,69,1,0,0,0,0,0,0
22,69,0,NA,NA,NA,NA,NA,NA
23,69,1,0,0,0,0,0,0
24,69,0,NA,NA,NA,NA,NA,NA
18,70,0,NA,NA,NA,NA,NA,NA
19,70,1,1,0,0,1,1,0
20,70,1,1,0,0,0,1,0
21,70,1,0,0,0,0,1,1
5,71,1,0,0,0,0,0,0
6,71,1,0,1,1,1,0,1
7,71,1,1,0,0,1,1,0
8,71,1,0,1,0,1,1,0
9,71,1,1,0,0,0,0,0
10,71,0,NA,NA,NA,NA,NA,NA
11,71,1,0,0,0,1,1,0
16,72,1,1,1,0,1,1,1
17,72,1,0,1,0,0,1,0
18,72,1,1,1,0,1,1,1
19,72,1,1,1,1,0,1,1
20,72,1,0,1,0,1,1,1
21,72,1,0,1,0,1,0,0
22,72,1,0,1,0,0,1,0
23,72,0,NA,NA,NA,NA,NA,NA
7,73,1,0,0,0,0,0,0
8,73,1,0,0,0,0,0,0
9,73,0,NA,NA,NA,NA,NA,NA
10,73,1,0,0,0,0,0,0
11,73,1,0,0,0,0,0,0
11,74,1,0,0,0,0,0,0
12,74,1,0,0,0,0,0,0
13,74,0,NA,NA,NA,NA,NA,NA
14,74,1,0,0,0,0,0,0
15,74,1,0,0,0,0,1,0
16,74,1,0,0,0,0,0,0
17,74,1,0,1,0,0,0,0
18,74,1,0,0,0,0,0,0
8,75,1,0,0,0,0,0,0
9,75,1,0,0,0,0,0,0
10,75,0,NA,NA,NA,NA,NA,NA
11,75,1,0,0,0,0,0,0
12,75,0,NA,NA,NA,NA,NA,NA
13,75,1,0,0,0,0,0,0
7,76,1,0,0,0,0,0,0
8,76,1,0,0,0,0,0,0
9,76,0,NA,NA,NA,NA,NA,NA
10,76,1,0,0,0,0,0,0
11,76,1,1,0,0,0,1,0
12,76,0,NA,NA,NA,NA,NA,NA
8,77,1,0,0,0,0,0,0
9,77,1,0,0,0,0,0,0
10,77,1,0,0,0,0,0,0
16,78,1,0,0,0,0,0,0
17,78,1,0,0,0,0,0,0
18,78,1,0,0,0,0,0,0
10,79,1,0,0,0,0,0,0
11,79,1,0,0,0,0,0,0
12,79,1,1,0,0,1,1,0
17,80,1,1,0,0,0,0,0
18,80,0,NA,NA,NA,NA,NA,NA
19,80,1,0,0,0,0,0,0
20,80,0,NA,NA,NA,NA,NA,NA
21,80,1,0,0,0,0,0,0
11,81,1,0,0,0,0,0,0
12,81,1,0,0,0,0,0,0
13,81,1,0,0,0,0,0,0
14,81,1,0,0,0,0,0,0
15,81,1,0,1,0,0,1,0
16,81,1,0,1,0,0,1,1
17,81,0,NA,NA,NA,NA,NA,NA
10,82,1,0,0,0,0,0,0
11,82,1,0,0,0,0,0,0
12,82,1,0,0,0,1,1,1
13,82,1,0,0,1,0,0,0
10,83,1,0,0,0,0,0,0
11,83,0,NA,NA,NA,NA,NA,NA
12,83,1,1,0,0,1,1,0
13,83,1,0,1,0,0,1,1
1,84,0,NA,NA,NA,NA,NA,NA
2,84,1,0,0,0,0,0,0
3,84,1,0,0,0,0,0,0
4,84,1,0,0,0,0,0,0
5,84,1,0,0,0,0,1,0
12,85,1,0,0,0,0,1,0
13,85,1,1,0,0,0,1,1
14,85,1,0,1,0,1,1,1
15,85,1,0,1,0,0,0,1
16,85,1,1,1,0,0,1,0
16,86,1,0,1,0,0,0,0
17,86,1,0,0,0,0,0,0
18,86,0,NA,NA,NA,NA,NA,NA
19,86,1,1,1,0,0,0,0
20,86,1,0,1,0,0,0,0
21,86,0,NA,NA,NA,NA,NA,NA
19,87,0,NA,NA,NA,NA,NA,NA
20,87,0,NA,NA,NA,NA,NA,NA
21,87,1,0,0,0,0,0,0
22,87,1,0,0,1,0,0,0
23,87,1,0,0,0,0,0,1
13,88,1,0,0,0,0,0,1
14,88,1,0,0,0,0,0,0
15,88,1,0,0,0,0,0,1
16,88,1,0,1,0,0,0,0
17,88,0,NA,NA,NA,NA,NA,NA
18,88,1,0,0,0,1,0,0
8,89,0,NA,NA,NA,NA,NA,NA
9,89,0,NA,NA,NA,NA,NA,NA
10,89,1,1,0,0,0,0,0
20,90,1,0,0,0,0,0,0
21,90,1,0,0,0,0,0,0
22,90,0,NA,NA,NA,NA,NA,NA
23,90,1,0,0,0,0,0,0
24,90,0,NA,NA,NA,NA,NA,NA
6,91,1,0,0,0,0,0,0
7,91,1,0,0,0,1,0,0
8,91,0,NA,NA,NA,NA,NA,NA
9,91,1,0,0,0,0,0,0
10,91,1,0,0,0,0,0,0
11,91,1,0,0,0,0,1,0
12,91,1,0,0,0,0,0,0
13,91,1,0,0,0,0,0,0
20,92,1,0,0,0,0,0,0
21,92,0,NA,NA,NA,NA,NA,NA
22,92,1,0,0,0,0,0,1
19,93,1,0,0,0,0,0,0
20,93,1,0,0,0,0,0,0
21,93,0,NA,NA,NA,NA,NA,NA
22,93,1,0,0,0,0,0,0
23,93,1,0,0,0,0,0,0
24,93,1,0,0,0,0,0,0
11,94,1,0,1,0,0,0,0
12,94,1,0,0,0,0,0,0
13,94,0,NA,NA,NA,NA,NA,NA
14,94,1,0,0,0,0,0,0
15,94,1,0,0,0,0,0,0
16,94,1,0,0,0,0,0,0
17,94,1,0,0,0,0,0,0
9,95,0,NA,NA,NA,NA,NA,NA
10,95,1,0,0,0,0,0,0
11,95,1,0,1,0,0,0,0
12,95,1,0,0,0,0,0,0
18,96,1,0,0,0,0,1,0
19,96,1,0,0,0,0,0,0
20,96,1,0,0,0,0,0,0
19,97,0,NA,NA,NA,NA,NA,NA
20,97,0,NA,NA,NA,NA,NA,NA
21,97,0,NA,NA,NA,NA,NA,NA
7,98,1,0,0,0,0,0,0
8,98,1,0,0,0,0,1,0
9,98,1,0,0,0,0,0,0
10,98,1,0,0,0,0,1,0
18,99,1,0,1,0,1,1,0
19,99,1,0,0,0,1,1,1
20,99,1,0,0,0,1,1,1
21,99,1,0,0,0,0,1,0
22,99,1,1,1,0,0,1,1
23,99,1,1,0,0,1,1,1
24,99,1,0,1,0,1,1,1
19,100,0,NA,NA,NA,NA,NA,NA
20,100,0,NA,NA,NA,NA,NA,NA
21,100,1,0,0,0,0,0,0
22,100,1,0,0,0,0,0,0
23,100,1,0,0,0,0,0,0
24,100,0,NA,NA,NA,NA,NA,NA
16,101,1,0,0,0,0,0,0
17,101,1,0,0,0,0,0,0
18,101,0,NA,NA,NA,NA,NA,NA
19,101,1,0,0,0,0,0,0
20,101,1,0,1,0,1,1,1
21,101,1,0,0,0,1,1,0
14,102,1,0,0,0,0,0,0
15,102,1,1,0,0,0,0,0
16,102,1,0,0,0,0,0,0
17,102,1,0,0,0,0,0,0
18,102,1,0,0,0,0,0,0
19,102,0,NA,NA,NA,NA,NA,NA
10,103,0,NA,NA,NA,NA,NA,NA
11,103,0,NA,NA,NA,NA,NA,NA
12,103,1,0,1,0,0,0,0
13,103,1,0,0,0,0,0,0
14,103,0,NA,NA,NA,NA,NA,NA
15,103,0,NA,NA,NA,NA,NA,NA
16,103,1,0,0,0,0,0,0
9,104,0,NA,NA,NA,NA,NA,NA
10,104,1,0,0,0,0,0,0
11,104,0,NA,NA,NA,NA,NA,NA
12,104,0,NA,NA,NA,NA,NA,NA
13,104,0,NA,NA,NA,NA,NA,NA
14,104,1,0,0,0,0,0,0
10,105,0,NA,NA,NA,NA,NA,NA
11,105,1,0,0,0,0,0,0
12,105,1,0,0,0,0,0,0
13,105,1,1,0,0,1,1,0
17,106,1,0,0,0,1,0,0
18,106,1,0,0,0,0,0,0
19,106,1,0,0,0,0,0,0
20,106,1,0,0,0,0,0,0
21,106,1,0,0,0,0,0,0
5,107,1,0,0,0,0,0,0
6,107,1,0,0,0,0,0,0
7,107,0,NA,NA,NA,NA,NA,NA
8,107,1,0,1,0,1,1,1
19,108,1,0,0,0,0,0,0
20,108,1,0,0,0,0,0,0
21,108,1,1,0,0,0,0,0
22,108,0,NA,NA,NA,NA,NA,NA
23,108,1,0,0,0,0,0,0
2,109,1,0,0,0,0,0,0
3,109,1,0,1,0,1,0,0
4,109,0,NA,NA,NA,NA,NA,NA
5,109,1,1,0,0,0,0,0
6,109,0,NA,NA,NA,NA,NA,NA
7,109,1,0,0,0,0,0,0
1,110,1,0,0,0,0,0,1
2,110,1,0,0,0,0,1,0
3,110,1,0,1,0,0,0,0
4,110,0,NA,NA,NA,NA,NA,NA
5,110,1,1,0,1,1,1,0
6,110,1,1,0,0,0,0,0
7,110,0,NA,NA,NA,NA,NA,NA
8,110,1,0,0,0,0,1,0
15,111,1,0,0,0,0,0,0
16,111,1,0,0,0,0,0,0
17,111,0,NA,NA,NA,NA,NA,NA
7,112,1,0,0,0,0,0,0
8,112,1,0,0,0,0,0,0
9,112,1,0,1,0,0,0,0
10,112,1,0,0,0,0,1,0
18,113,1,0,0,0,0,0,0
19,113,1,0,0,0,0,0,1
20,113,1,0,0,0,0,0,0
21,113,1,1,0,0,0,0,0
22,113,0,NA,NA,NA,NA,NA,NA
23,113,1,0,0,0,1,1,1
20,114,1,0,0,0,0,0,0
21,114,1,1,0,0,0,0,0
22,114,1,0,0,0,1,0,0
23,114,1,0,0,0,0,0,0
24,114,1,0,0,0,0,0,0
9,115,1,0,0,0,0,0,0
10,115,1,0,0,0,0,0,0
11,115,1,0,0,0,0,0,1
12,115,0,NA,NA,NA,NA,NA,NA
13,115,0,NA,NA,NA,NA,NA,NA
9,116,1,0,0,0,0,1,0
10,116,0,NA,NA,NA,NA,NA,NA
11,116,0,NA,NA,NA,NA,NA,NA
12,116,1,0,0,0,0,1,0
3,117,1,0,0,0,0,0,0
4,117,1,0,1,0,0,0,0
5,117,1,0,0,0,0,0,0
6,117,1,0,0,0,0,0,0
7,117,1,0,0,0,0,0,0
8,117,1,0,0,0,0,0,0
9,117,1,0,1,0,0,0,0
10,117,1,0,0,0,0,1,0
19,118,1,1,0,0,0,0,0
20,118,1,0,0,0,0,1,0
21,118,1,0,0,0,0,0,0
22,118,1,0,0,0,0,1,0
23,118,1,1,0,0,1,1,1
24,118,1,0,0,0,1,1,1
19,119,1,0,0,0,0,0,0
20,119,1,0,0,0,1,0,0
21,119,0,NA,NA,NA,NA,NA,NA
22,119,1,0,0,0,0,0,0
23,119,1,0,0,0,0,1,0
24,119,1,0,0,0,0,1,1
5,120,1,0,0,0,0,0,0
6,120,1,0,0,0,0,0,0
7,120,1,0,0,0,0,0,0
8,120,0,NA,NA,NA,NA,NA,NA
9,120,0,NA,NA,NA,NA,NA,NA
10,120,0,NA,NA,NA,NA,NA,NA
11,120,1,0,0,0,0,0,0
12,120,1,0,1,0,0,0,0
7,121,1,1,0,0,1,0,0
8,121,1,0,0,0,0,0,0
9,121,0,NA,NA,NA,NA,NA,NA
10,121,1,0,0,0,1,1,0
11,121,1,1,1,0,1,1,1
12,121,0,NA,NA,NA,NA,NA,NA
1,122,1,0,0,0,0,0,0
2,122,1,0,0,0,0,0,0
3,122,0,NA,NA,NA,NA,NA,NA
4,122,0,NA,NA,NA,NA,NA,NA
5,122,1,0,0,0,0,0,0
6,122,1,0,0,0,0,0,0
10,123,0,NA,NA,NA,NA,NA,NA
11,123,0,NA,NA,NA,NA,NA,NA
12,123,1,0,1,1,1,1,0
13,123,0,NA,NA,NA,NA,NA,NA
14,123,1,0,1,0,1,0,0
11,124,1,0,0,0,0,0,1
12,124,0,NA,NA,NA,NA,NA,NA
13,124,0,NA,NA,NA,NA,NA,NA
14,124,1,0,0,0,1,0,0
15,124,1,1,0,0,0,1,0
16,124,1,0,1,0,1,1,1
17,124,0,NA,NA,NA,NA,NA,NA
15,125,1,0,0,0,1,0,0
16,125,0,NA,NA,NA,NA,NA,NA
17,125,0,NA,NA,NA,NA,NA,NA
18,125,1,0,0,0,0,0,0
19,125,1,0,0,0,0,0,0
20,125,0,NA,NA,NA,NA,NA,NA
21,125,1,0,0,0,0,0,0
17,126,1,0,0,0,0,0,0
18,126,1,0,0,0,0,0,0
19,126,0,NA,NA,NA,NA,NA,NA
17,127,1,0,0,0,0,0,0
18,127,0,NA,NA,NA,NA,NA,NA
19,127,1,0,0,0,0,0,0
20,127,1,0,1,0,0,0,0
21,127,1,0,0,0,0,0,0
10,128,1,0,0,0,0,0,0
11,128,0,NA,NA,NA,NA,NA,NA
12,128,1,0,0,0,0,0,0
13,128,1,0,0,0,0,0,0
