time,id,captured,test1,test2,test3,test4,test5,test6
9,16,0,NA,NA,NA,NA,NA,NA
10,16,0,NA,NA,NA,NA,NA,NA
11,16,0,NA,NA,NA,NA,NA,NA
12,16,1,1,NA,NA,0,NA,1
6,17,0,NA,NA,NA,NA,NA,NA
7,17,0,NA,NA,NA,NA,NA,NA
8,17,1,NA,0,NA,NA,0,0
9,17,1,NA,0,0,0,0,NA
12,18,0,NA,NA,NA,NA,NA,NA
13,18,1,0,NA,NA,0,0,NA
14,18,1,NA,NA,NA,0,NA,0
15,18,0,NA,NA,NA,NA,NA,NA
18,19,0,NA,NA,NA,NA,NA,NA
19,19,1,0,0,0,NA,0,0
20,19,0,NA,NA,NA,NA,NA,NA
21,19,0,NA,NA,NA,NA,NA,NA
16,20,1,0,NA,NA,NA,NA,0
17,20,1,NA,NA,0,NA,NA,0
18,20,1,0,0,NA,0,0,NA
19,20,0,NA,NA,NA,NA,NA,NA
20,20,0,NA,NA,NA,NA,NA,NA
21,20,0,NA,NA,NA,NA,NA,NA
1,21,1,NA,NA,0,NA,NA,0
2,21,0,NA,NA,NA,NA,NA,NA
3,21,1,NA,0,NA,NA,NA,0
4,21,0,NA,NA,NA,NA,NA,NA
5,21,0,NA,NA,NA,NA,NA,NA
6,21,1,NA,0,NA,0,0,1
7,21,0,NA,NA,NA,NA,NA,NA
8,21,0,NA,NA,NA,NA,NA,NA
8,22,0,NA,NA,NA,NA,NA,NA
9,22,0,NA,NA,NA,NA,NA,NA
10,22,0,NA,NA,NA,NA,NA,NA
11,22,1,NA,NA,0,NA,0,0
12,22,0,NA,NA,NA,NA,NA,NA
13,22,0,NA,NA,NA,NA,NA,NA
14,22,1,NA,0,0,NA,0,NA
6,23,0,NA,NA,NA,NA,NA,NA
7,23,1,NA,1,NA,NA,0,NA
8,23,1,NA,1,0,NA,0,NA
9,23,1,0,NA,NA,0,NA,0
10,23,1,0,0,NA,0,0,0
16,24,0,NA,NA,NA,NA,NA,NA
17,24,1,0,0,0,NA,0,NA
18,24,0,NA,NA,NA,NA,NA,NA
19,24,1,0,0,NA,0,NA,NA
20,24,0,NA,NA,NA,NA,NA,NA
21,24,0,NA,NA,NA,NA,NA,NA
22,24,0,NA,NA,NA,NA,NA,NA
23,24,0,NA,NA,NA,NA,NA,NA
6,25,1,0,0,NA,0,0,NA
7,25,1,NA,0,0,NA,0,0
8,25,0,NA,NA,NA,NA,NA,NA
9,25,0,NA,NA,NA,NA,NA,NA
16,26,0,NA,NA,NA,NA,NA,NA
17,26,1,NA,NA,0,0,NA,NA
18,26,0,NA,NA,NA,NA,NA,NA
19,26,1,NA,0,0,NA,NA,0
20,26,1,NA,0,NA,NA,0,NA
21,26,0,NA,NA,NA,NA,NA,NA
22,26,0,NA,NA,NA,NA,NA,NA
14,27,1,0,NA,NA,NA,0,NA
15,27,0,NA,NA,NA,NA,NA,NA
16,27,1,1,0,0,NA,NA,NA
17,27,1,NA,0,0,NA,0,NA
18,27,0,NA,NA,NA,NA,NA,NA
19,27,1,0,NA,NA,0,0,1
20,28,0,NA,NA,NA,NA,NA,NA
21,28,0,NA,NA,NA,NA,NA,NA
22,28,1,NA,NA,0,0,NA,NA
23,28,1,NA,0,NA,NA,0,NA
24,28,1,NA,NA,NA,NA,NA,NA
18,29,1,0,0,0,0,NA,0
19,29,0,NA,NA,NA,NA,NA,NA
20,29,1,NA,NA,NA,NA,NA,NA
21,29,1,NA,0,NA,NA,NA,NA
22,29,0,NA,NA,NA,NA,NA,NA
23,29,0,NA,NA,NA,NA,NA,NA
2,30,0,NA,NA,NA,NA,NA,NA
3,30,1,0,NA,NA,0,NA,NA
4,30,1,NA,0,0,NA,0,0
5,30,1,NA,NA,0,NA,0,NA
18,31,0,NA,NA,NA,NA,NA,NA
19,31,1,0,NA,0,NA,NA,0
20,31,0,NA,NA,NA,NA,NA,NA
21,31,1,0,1,NA,NA,1,NA
22,31,0,NA,NA,NA,NA,NA,NA
23,31,0,NA,NA,NA,NA,NA,NA
24,31,1,NA,NA,NA,NA,NA,NA
3,32,1,0,0,NA,NA,NA,0
4,32,0,NA,NA,NA,NA,NA,NA
5,32,1,NA,0,0,NA,0,NA
7,33,1,0,NA,0,NA,0,0
8,33,1,0,NA,0,0,NA,0
9,33,1,0,NA,1,NA,1,1
10,33,0,NA,NA,NA,NA,NA,NA
14,34,0,NA,NA,NA,NA,NA,NA
15,34,1,0,NA,NA,NA,0,0
16,34,1,0,0,NA,NA,NA,0
17,34,1,NA,NA,NA,NA,0,0
18,34,1,NA,0,0,1,NA,NA
19,34,0,NA,NA,NA,NA,NA,NA
20,34,0,NA,NA,NA,NA,NA,NA
14,35,1,0,NA,NA,0,NA,NA
15,35,1,0,0,NA,NA,NA,NA
16,35,0,NA,NA,NA,NA,NA,NA
17,35,0,NA,NA,NA,NA,NA,NA
18,35,1,NA,0,NA,0,NA,NA
19,35,1,NA,0,NA,0,NA,NA
20,35,1,NA,NA,0,NA,NA,NA
21,35,0,NA,NA,NA,NA,NA,NA
20,36,1,NA,NA,0,0,NA,NA
21,36,1,NA,0,NA,0,NA,NA
22,36,1,NA,0,NA,NA,0,NA
23,36,1,NA,NA,NA,0,0,NA
24,36,1,NA,NA,0,0,NA,0
12,37,0,NA,NA,NA,NA,NA,NA
13,37,0,NA,NA,NA,NA,NA,NA
14,37,0,NA,NA,NA,NA,NA,NA
15,37,1,0,1,0,NA,1,NA
16,37,0,NA,NA,NA,NA,NA,NA
17,37,0,NA,NA,NA,NA,NA,NA
2,38,1,0,NA,0,0,0,NA
3,38,0,NA,NA,NA,NA,NA,NA
4,38,0,NA,NA,NA,NA,NA,NA
5,38,1,NA,0,0,NA,0,0
6,38,1,NA,NA,NA,0,NA,0
19,39,1,0,NA,0,1,NA,NA
20,39,0,NA,NA,NA,NA,NA,NA
21,39,0,NA,NA,NA,NA,NA,NA
9,40,0,NA,NA,NA,NA,NA,NA
10,40,1,NA,NA,0,0,NA,0
11,40,0,NA,NA,NA,NA,NA,NA
13,41,0,NA,NA,NA,NA,NA,NA
14,41,0,NA,NA,NA,NA,NA,NA
15,41,0,NA,NA,NA,NA,NA,NA
16,41,0,NA,NA,NA,NA,NA,NA
17,41,0,NA,NA,NA,NA,NA,NA
18,41,0,NA,NA,NA,NA,NA,NA
8,42,0,NA,NA,NA,NA,NA,NA
9,42,1,NA,NA,0,NA,0,0
10,42,0,NA,NA,NA,NA,NA,NA
16,43,1,0,1,NA,NA,NA,0
17,43,0,NA,NA,NA,NA,NA,NA
18,43,0,NA,NA,NA,NA,NA,NA
10,44,1,NA,NA,0,NA,NA,NA
11,44,1,0,NA,NA,NA,NA,0
12,44,0,NA,NA,NA,NA,NA,NA
13,44,1,NA,0,NA,0,NA,NA
10,45,1,NA,NA,0,NA,NA,NA
11,45,1,0,NA,NA,0,NA,NA
12,45,1,0,NA,0,0,0,NA
13,45,0,NA,NA,NA,NA,NA,NA
18,46,1,0,0,0,0,NA,NA
19,46,1,0,NA,NA,NA,NA,NA
20,46,1,NA,NA,0,0,1,0
21,46,0,NA,NA,NA,NA,NA,NA
22,46,0,NA,NA,NA,NA,NA,NA
23,46,1,NA,NA,0,0,0,0
24,46,0,NA,NA,NA,NA,NA,NA
14,47,0,NA,NA,NA,NA,NA,NA
15,47,0,NA,NA,NA,NA,NA,NA
16,47,1,NA,NA,NA,1,NA,NA
17,47,1,NA,NA,0,NA,NA,NA
18,48,0,NA,NA,NA,NA,NA,NA
19,48,1,0,0,0,NA,NA,NA
20,48,1,NA,NA,NA,0,NA,NA
21,48,1,NA,0,0,NA,NA,0
22,48,1,0,NA,NA,NA,NA,1
4,49,1,NA,0,0,0,NA,NA
5,49,0,NA,NA,NA,NA,NA,NA
6,49,0,NA,NA,NA,NA,NA,NA
7,49,0,NA,NA,NA,NA,NA,NA
8,49,1,NA,0,0,0,NA,NA
9,49,0,NA,NA,NA,NA,NA,NA
10,49,0,NA,NA,NA,NA,NA,NA
11,49,0,NA,NA,NA,NA,NA,NA
16,50,1,0,NA,0,NA,NA,NA
17,50,0,NA,NA,NA,NA,NA,NA
18,50,1,0,NA,NA,NA,NA,NA
19,50,0,NA,NA,NA,NA,NA,NA
20,50,1,NA,NA,NA,0,NA,0
1,51,0,NA,NA,NA,NA,NA,NA
2,51,1,NA,NA,0,NA,0,0
3,51,1,NA,NA,0,NA,0,NA
4,51,1,NA,NA,NA,0,NA,1
5,51,1,0,1,NA,NA,0,NA
6,51,1,0,NA,0,1,NA,NA
18,52,0,NA,NA,NA,NA,NA,NA
19,52,1,NA,0,NA,1,0,0
20,52,1,0,0,0,NA,NA,1
21,52,0,NA,NA,NA,NA,NA,NA
20,53,0,NA,NA,NA,NA,NA,NA
21,53,1,0,0,NA,0,NA,NA
22,53,1,0,0,NA,0,0,0
23,53,0,NA,NA,NA,NA,NA,NA
24,53,1,0,NA,0,0,1,0
20,54,1,0,NA,NA,NA,0,NA
21,54,1,NA,NA,NA,NA,NA,NA
22,54,0,NA,NA,NA,NA,NA,NA
23,54,0,NA,NA,NA,NA,NA,NA
24,54,1,0,0,NA,NA,0,NA
5,55,1,0,NA,NA,0,NA,0
6,55,0,NA,NA,NA,NA,NA,NA
7,55,0,NA,NA,NA,NA,NA,NA
8,55,0,NA,NA,NA,NA,NA,NA
9,55,1,0,NA,0,0,0,0
10,55,0,NA,NA,NA,NA,NA,NA
11,55,1,0,NA,0,NA,0,NA
14,56,1,0,NA,0,0,NA,NA
15,56,0,NA,NA,NA,NA,NA,NA
16,56,1,NA,0,NA,1,0,NA
17,56,0,NA,NA,NA,NA,NA,NA
18,56,0,NA,NA,NA,NA,NA,NA
19,56,0,NA,NA,NA,NA,NA,NA
20,56,1,NA,0,0,0,NA,NA
2,57,0,NA,NA,NA,NA,NA,NA
3,57,0,NA,NA,NA,NA,NA,NA
4,57,0,NA,NA,NA,NA,NA,NA
5,57,1,0,NA,NA,NA,NA,NA
16,58,1,NA,0,0,NA,0,0
17,58,0,NA,NA,NA,NA,NA,NA
18,58,1,0,1,NA,0,NA,0
19,58,1,0,0,0,NA,0,0
20,58,0,NA,NA,NA,NA,NA,NA
21,58,1,NA,NA,NA,NA,NA,NA
22,58,0,NA,NA,NA,NA,NA,NA
6,59,1,NA,NA,NA,NA,0,NA
7,59,0,NA,NA,NA,NA,NA,NA
8,59,0,NA,NA,NA,NA,NA,NA
9,59,1,0,0,NA,0,NA,0
10,59,0,NA,NA,NA,NA,NA,NA
11,59,1,0,0,0,0,NA,NA
18,60,1,NA,0,NA,NA,0,0
19,60,1,0,NA,NA,0,NA,1
20,60,1,0,0,0,NA,NA,NA
21,60,1,0,0,NA,0,NA,NA
22,60,0,NA,NA,NA,NA,NA,NA
23,60,0,NA,NA,NA,NA,NA,NA
24,60,0,NA,NA,NA,NA,NA,NA
19,61,1,NA,0,NA,1,1,1
20,61,0,NA,NA,NA,NA,NA,NA
21,61,1,0,NA,0,NA,NA,NA
22,61,1,0,1,0,NA,NA,0
23,61,1,1,1,0,NA,NA,NA
24,61,0,NA,NA,NA,NA,NA,NA
8,62,1,NA,NA,NA,NA,NA,0
9,62,1,NA,0,NA,NA,0,NA
10,62,1,NA,0,0,NA,0,0
11,62,1,0,0,NA,NA,0,0
12,62,1,NA,0,0,NA,NA,NA
20,63,0,NA,NA,NA,NA,NA,NA
21,63,1,NA,0,NA,NA,0,NA
22,63,1,0,NA,NA,0,NA,NA
23,63,0,NA,NA,NA,NA,NA,NA
7,64,1,0,0,0,NA,NA,0
8,64,0,NA,NA,NA,NA,NA,NA
9,64,1,0,NA,NA,0,NA,NA
10,64,1,NA,NA,0,0,0,NA
16,65,1,NA,NA,0,0,0,0
17,65,0,NA,NA,NA,NA,NA,NA
18,65,0,NA,NA,NA,NA,NA,NA
19,65,1,NA,0,NA,0,NA,1
9,66,1,NA,NA,NA,0,NA,0
10,66,1,0,NA,NA,0,0,0
11,66,1,NA,NA,0,0,NA,0
12,66,1,NA,0,NA,NA,NA,0
13,66,1,NA,0,0,0,NA,NA
14,66,0,NA,NA,NA,NA,NA,NA
16,67,1,0,NA,0,NA,0,0
17,67,0,NA,NA,NA,NA,NA,NA
18,67,1,0,0,0,0,0,NA
19,67,1,NA,0,NA,1,NA,NA
20,67,0,NA,NA,NA,NA,NA,NA
21,67,0,NA,NA,NA,NA,NA,NA
22,67,0,NA,NA,NA,NA,NA,NA
12,68,1,NA,NA,0,NA,0,0
13,68,1,NA,0,NA,0,NA,NA
14,68,0,NA,NA,NA,NA,NA,NA
15,68,1,NA,NA,0,NA,0,0
5,69,1,NA,NA,NA,NA,NA,0
6,69,1,NA,NA,NA,0,0,0
7,69,1,0,NA,0,0,0,0
8,69,0,NA,NA,NA,NA,NA,NA
9,69,1,NA,0,NA,0,0,0
10,69,0,NA,NA,NA,NA,NA,NA
11,69,1,0,NA,NA,NA,NA,NA
12,69,0,NA,NA,NA,NA,NA,NA
9,70,1,0,NA,NA,NA,0,NA
10,70,1,0,NA,NA,0,0,0
11,70,1,0,NA,0,NA,NA,0
12,70,1,NA,NA,0,0,NA,0
13,70,0,NA,NA,NA,NA,NA,NA
14,70,0,NA,NA,NA,NA,NA,NA
14,71,1,0,NA,0,NA,NA,NA
15,71,0,NA,NA,NA,NA,NA,NA
16,71,0,NA,NA,NA,NA,NA,NA
17,71,1,NA,0,0,NA,0,0
18,71,0,NA,NA,NA,NA,NA,NA
19,71,0,NA,NA,NA,NA,NA,NA
20,71,1,NA,NA,NA,NA,NA,0
21,71,0,NA,NA,NA,NA,NA,NA
5,72,1,0,NA,0,0,0,0
6,72,0,NA,NA,NA,NA,NA,NA
7,72,1,0,0,0,NA,0,1
8,72,1,NA,0,0,NA,NA,0
9,72,0,NA,NA,NA,NA,NA,NA
10,72,1,NA,0,0,NA,0,NA
11,72,0,NA,NA,NA,NA,NA,NA
4,73,0,NA,NA,NA,NA,NA,NA
5,73,0,NA,NA,NA,NA,NA,NA
6,73,1,0,NA,0,0,0,NA
7,73,0,NA,NA,NA,NA,NA,NA
8,73,1,NA,NA,NA,NA,NA,1
9,73,0,NA,NA,NA,NA,NA,NA
10,73,0,NA,NA,NA,NA,NA,NA
11,73,1,NA,0,0,0,NA,0
10,74,0,NA,NA,NA,NA,NA,NA
11,74,0,NA,NA,NA,NA,NA,NA
12,74,0,NA,NA,NA,NA,NA,NA
13,74,1,NA,NA,0,NA,NA,NA
14,74,1,0,NA,NA,0,NA,0
15,74,0,NA,NA,NA,NA,NA,NA
16,74,1,NA,0,NA,0,0,NA
13,75,1,NA,NA,NA,NA,NA,NA
14,75,0,NA,NA,NA,NA,NA,NA
15,75,0,NA,NA,NA,NA,NA,NA
16,75,0,NA,NA,NA,NA,NA,NA
17,75,0,NA,NA,NA,NA,NA,NA
18,75,0,NA,NA,NA,NA,NA,NA
19,75,1,NA,0,NA,NA,NA,NA
20,76,1,0,NA,NA,NA,NA,0
21,76,0,NA,NA,NA,NA,NA,NA
22,76,1,NA,0,0,NA,NA,NA
23,76,1,0,NA,NA,NA,NA,0
24,76,1,NA,NA,0,0,NA,1
9,77,0,NA,NA,NA,NA,NA,NA
10,77,1,NA,NA,0,NA,1,NA
11,77,1,NA,0,NA,1,NA,NA
12,77,0,NA,NA,NA,NA,NA,NA
13,77,0,NA,NA,NA,NA,NA,NA
14,77,1,NA,NA,NA,NA,NA,NA
15,77,0,NA,NA,NA,NA,NA,NA
4,78,1,NA,0,NA,NA,NA,NA
5,78,0,NA,NA,NA,NA,NA,NA
6,78,1,NA,NA,NA,NA,0,0
7,78,1,NA,NA,NA,NA,0,NA
5,79,0,NA,NA,NA,NA,NA,NA
6,79,1,NA,0,0,0,0,0
7,79,0,NA,NA,NA,NA,NA,NA
8,79,0,NA,NA,NA,NA,NA,NA
9,79,1,NA,NA,NA,NA,0,0
10,79,0,NA,NA,NA,NA,NA,NA
11,79,0,NA,NA,NA,NA,NA,NA
12,79,1,NA,NA,0,0,NA,0
7,80,0,NA,NA,NA,NA,NA,NA
8,80,1,NA,NA,NA,0,NA,NA
9,80,0,NA,NA,NA,NA,NA,NA
4,81,0,NA,NA,NA,NA,NA,NA
5,81,1,1,NA,0,NA,1,0
6,81,1,NA,1,0,NA,0,1
11,82,1,NA,0,0,0,0,NA
12,82,1,1,0,NA,0,NA,0
13,82,0,NA,NA,NA,NA,NA,NA
14,82,1,NA,NA,NA,NA,NA,NA
15,82,1,NA,NA,NA,NA,1,NA
14,83,1,0,NA,0,NA,NA,NA
15,83,0,NA,NA,NA,NA,NA,NA
16,83,1,NA,0,NA,NA,1,0
17,83,1,0,NA,NA,0,NA,NA
18,83,0,NA,NA,NA,NA,NA,NA
19,83,1,0,NA,NA,NA,0,1
20,83,0,NA,NA,NA,NA,NA,NA
21,83,1,0,0,0,NA,0,NA
9,84,0,NA,NA,NA,NA,NA,NA
10,84,1,NA,0,NA,NA,NA,NA
11,84,1,NA,0,NA,0,NA,0
12,84,0,NA,NA,NA,NA,NA,NA
13,84,1,NA,NA,NA,NA,NA,0
14,84,1,NA,NA,0,0,0,NA
15,84,1,0,0,0,NA,NA,NA
16,84,0,NA,NA,NA,NA,NA,NA
6,85,0,NA,NA,NA,NA,NA,NA
7,85,1,1,1,NA,NA,1,NA
8,85,0,NA,NA,NA,NA,NA,NA
16,86,1,0,NA,0,0,0,0
17,86,0,NA,NA,NA,NA,NA,NA
18,86,0,NA,NA,NA,NA,NA,NA
19,86,0,NA,NA,NA,NA,NA,NA
20,86,1,NA,0,NA,NA,0,NA
21,86,0,NA,NA,NA,NA,NA,NA
22,86,0,NA,NA,NA,NA,NA,NA
23,86,0,NA,NA,NA,NA,NA,NA
18,87,0,NA,NA,NA,NA,NA,NA
19,87,0,NA,NA,NA,NA,NA,NA
20,87,1,0,NA,NA,0,NA,NA
21,87,0,NA,NA,NA,NA,NA,NA
22,87,1,NA,0,0,0,0,0
18,88,1,NA,NA,NA,0,NA,NA
19,88,1,0,NA,NA,NA,NA,0
20,88,1,0,NA,0,0,0,1
21,88,1,NA,NA,0,1,NA,0
22,88,0,NA,NA,NA,NA,NA,NA
23,88,1,NA,0,NA,NA,NA,1
15,89,0,NA,NA,NA,NA,NA,NA
16,89,1,0,0,0,0,1,NA
17,89,0,NA,NA,NA,NA,NA,NA
7,90,0,NA,NA,NA,NA,NA,NA
8,90,0,NA,NA,NA,NA,NA,NA
9,90,0,NA,NA,NA,NA,NA,NA
10,90,0,NA,NA,NA,NA,NA,NA
11,90,0,NA,NA,NA,NA,NA,NA
12,90,0,NA,NA,NA,NA,NA,NA
15,91,0,NA,NA,NA,NA,NA,NA
16,91,1,NA,NA,NA,0,NA,0
17,91,1,NA,0,NA,0,NA,0
18,91,0,NA,NA,NA,NA,NA,NA
18,92,0,NA,NA,NA,NA,NA,NA
19,92,1,0,NA,NA,0,NA,NA
20,92,1,NA,NA,0,0,NA,NA
21,92,1,NA,NA,0,0,0,0
22,92,0,NA,NA,NA,NA,NA,NA
23,92,1,0,NA,NA,NA,NA,NA
24,92,1,0,NA,0,NA,0,NA
20,93,1,NA,0,NA,0,0,0
21,93,0,NA,NA,NA,NA,NA,NA
22,93,1,0,NA,NA,0,NA,NA
23,93,0,NA,NA,NA,NA,NA,NA
24,93,0,NA,NA,NA,NA,NA,NA
6,94,1,NA,NA,1,0,1,1
7,94,0,NA,NA,NA,NA,NA,NA
8,94,1,0,0,NA,0,1,0
9,94,0,NA,NA,NA,NA,NA,NA
10,94,0,NA,NA,NA,NA,NA,NA
11,94,1,NA,NA,NA,1,NA,NA
12,94,1,NA,NA,0,0,NA,NA
13,94,1,NA,0,NA,NA,NA,NA
18,95,1,NA,NA,0,NA,NA,NA
19,95,0,NA,NA,NA,NA,NA,NA
20,95,1,NA,0,0,0,0,0
21,95,1,NA,NA,NA,NA,NA,0
22,95,0,NA,NA,NA,NA,NA,NA
5,96,1,NA,0,NA,NA,0,0
6,96,0,NA,NA,NA,NA,NA,NA
7,96,0,NA,NA,NA,NA,NA,NA
8,96,1,NA,NA,NA,NA,NA,NA
16,97,0,NA,NA,NA,NA,NA,NA
17,97,1,NA,0,0,NA,0,NA
18,97,1,NA,0,NA,NA,NA,0
19,97,1,0,NA,0,0,1,0
20,97,0,NA,NA,NA,NA,NA,NA
11,98,0,NA,NA,NA,NA,NA,NA
12,98,1,0,NA,NA,NA,NA,NA
13,98,0,NA,NA,NA,NA,NA,NA
14,98,1,0,0,NA,NA,0,NA
15,98,0,NA,NA,NA,NA,NA,NA
15,99,1,1,0,NA,NA,NA,1
16,99,0,NA,NA,NA,NA,NA,NA
17,99,0,NA,NA,NA,NA,NA,NA
16,100,1,0,0,0,0,0,NA
17,100,0,NA,NA,NA,NA,NA,NA
18,100,0,NA,NA,NA,NA,NA,NA
19,100,1,0,NA,0,NA,NA,0
20,100,0,NA,NA,NA,NA,NA,NA
21,100,0,NA,NA,NA,NA,NA,NA
22,100,0,NA,NA,NA,NA,NA,NA
23,100,1,0,0,0,0,0,1
4,101,0,NA,NA,NA,NA,NA,NA
5,101,1,NA,NA,0,0,NA,NA
6,101,1,NA,NA,0,0,0,NA
7,101,1,0,0,0,0,NA,NA
4,102,0,NA,NA,NA,NA,NA,NA
5,102,1,1,NA,0,1,1,NA
6,102,0,NA,NA,NA,NA,NA,NA
4,103,0,NA,NA,NA,NA,NA,NA
5,103,1,NA,1,NA,NA,NA,0
6,103,0,NA,NA,NA,NA,NA,NA
7,103,0,NA,NA,NA,NA,NA,NA
8,103,0,NA,NA,NA,NA,NA,NA
9,103,0,NA,NA,NA,NA,NA,NA
10,103,1,NA,NA,NA,NA,NA,NA
12,104,1,NA,NA,0,0,0,0
13,104,1,0,0,NA,0,0,0
14,104,1,0,NA,NA,NA,NA,0
15,104,0,NA,NA,NA,NA,NA,NA
16,104,1,NA,NA,NA,0,NA,NA
17,104,0,NA,NA,NA,NA,NA,NA
3,105,1,NA,NA,NA,NA,NA,NA
4,105,0,NA,NA,NA,NA,NA,NA
5,105,1,0,NA,NA,NA,NA,NA
6,105,1,NA,NA,NA,NA,0,0
7,105,0,NA,NA,NA,NA,NA,NA
8,105,1,0,0,0,0,NA,0
8,106,1,0,NA,0,0,NA,0
9,106,1,NA,NA,NA,0,0,NA
10,106,0,NA,NA,NA,NA,NA,NA
11,106,0,NA,NA,NA,NA,NA,NA
3,107,0,NA,NA,NA,NA,NA,NA
4,107,0,NA,NA,NA,NA,NA,NA
5,107,0,NA,NA,NA,NA,NA,NA
6,107,0,NA,NA,NA,NA,NA,NA
12,108,0,NA,NA,NA,NA,NA,NA
13,108,0,NA,NA,NA,NA,NA,NA
14,108,1,0,0,0,0,0,NA
15,108,0,NA,NA,NA,NA,NA,NA
16,108,1,NA,NA,NA,0,NA,NA
17,108,0,NA,NA,NA,NA,NA,NA
17,109,0,NA,NA,NA,NA,NA,NA
18,109,0,NA,NA,NA,NA,NA,NA
19,109,0,NA,NA,NA,NA,NA,NA
20,109,0,NA,NA,NA,NA,NA,NA
21,109,1,NA,NA,NA,NA,0,NA
12,110,1,0,NA,NA,NA,1,0
13,110,1,0,NA,NA,NA,NA,NA
14,110,0,NA,NA,NA,NA,NA,NA
15,110,0,NA,NA,NA,NA,NA,NA
16,110,0,NA,NA,NA,NA,NA,NA
17,110,1,NA,NA,NA,NA,0,0
18,110,1,0,NA,0,0,0,NA
12,111,0,NA,NA,NA,NA,NA,NA
13,111,1,0,NA,NA,NA,NA,NA
14,111,1,NA,0,NA,NA,0,NA
7,112,1,NA,0,NA,0,0,1
8,112,0,NA,NA,NA,NA,NA,NA
9,112,1,NA,NA,0,NA,NA,0
10,112,1,NA,NA,NA,NA,0,0
11,112,0,NA,NA,NA,NA,NA,NA
12,112,0,NA,NA,NA,NA,NA,NA
9,113,1,NA,0,NA,NA,0,NA
10,113,0,NA,NA,NA,NA,NA,NA
11,113,0,NA,NA,NA,NA,NA,NA
12,113,0,NA,NA,NA,NA,NA,NA
